epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,45.2382,0.99876,2.76792,1.2738,0.68332,0.59315,0.64023,0.44809,0.98758,1.54233,1.21308,0.000138612,0.000138612,0.000138612
2,83.2375,1.05754,1.90079,1.31773,0.626,0.55252,0.58406,0.39016,1.07802,1.58718,1.291,0.000274863,0.000274863,0.000274863
3,120.498,1.09963,1.87289,1.34247,0.62697,0.52118,0.56051,0.36887,1.12275,1.59687,1.33255,0.000408363,0.000408363,0.000408363
4,158.323,1.09757,1.82159,1.34921,0.64718,0.54591,0.58907,0.38729,1.1227,1.51716,1.32322,0.000404615,0.000404615,0.000404615
5,195.012,1.08147,1.72856,1.33966,0.63239,0.53525,0.58097,0.38193,1.15298,1.51762,1.36377,0.000400487,0.000400487,0.000400487
6,231.82,1.07922,1.66501,1.3373,0.64678,0.5534,0.59265,0.39268,1.12124,1.40881,1.31358,0.000396358,0.000396358,0.000396358
7,269.132,1.06383,1.60326,1.32549,0.67183,0.54463,0.60038,0.40091,1.12119,1.36016,1.31627,0.00039223,0.00039223,0.00039223
8,306.281,1.05909,1.55011,1.3168,0.66351,0.54156,0.59404,0.39132,1.12002,1.3896,1.32641,0.000388102,0.000388102,0.000388102
9,343.313,1.04866,1.52614,1.31196,0.63454,0.56131,0.5953,0.39849,1.09931,1.41882,1.3162,0.000383974,0.000383974,0.000383974
10,380.395,1.04245,1.48824,1.30843,0.6501,0.56334,0.60791,0.40719,1.10007,1.32801,1.31311,0.000379845,0.000379845,0.000379845
11,417.236,1.0259,1.45013,1.29873,0.68503,0.54911,0.60581,0.40685,1.10891,1.35587,1.31909,0.000375717,0.000375717,0.000375717
12,454.43,1.0191,1.41971,1.29424,0.68362,0.57428,0.6273,0.42446,1.11433,1.2864,1.31765,0.000371589,0.000371589,0.000371589
13,491.238,1.01817,1.38879,1.28597,0.68981,0.57552,0.63087,0.42497,1.10044,1.27925,1.30392,0.00036746,0.00036746,0.00036746
14,528.077,1.00101,1.36677,1.27546,0.71595,0.56766,0.64251,0.43591,1.08127,1.24663,1.28514,0.000363332,0.000363332,0.000363332
15,565.014,0.99429,1.33402,1.27378,0.69733,0.58377,0.64408,0.43491,1.09817,1.24982,1.30709,0.000359204,0.000359204,0.000359204
16,601.855,0.99238,1.29935,1.26806,0.72344,0.56732,0.64456,0.43354,1.10195,1.26059,1.30717,0.000355076,0.000355076,0.000355076
17,638.858,0.98549,1.30221,1.26814,0.7044,0.58722,0.64648,0.43598,1.0897,1.22248,1.29129,0.000350947,0.000350947,0.000350947
18,676.084,0.98251,1.27958,1.26474,0.70136,0.5678,0.63629,0.43481,1.0783,1.22988,1.28241,0.000346819,0.000346819,0.000346819
19,713.105,0.97508,1.26714,1.26366,0.69439,0.57813,0.63315,0.43292,1.07731,1.22683,1.28937,0.000342691,0.000342691,0.000342691
20,750.223,0.96679,1.242,1.2476,0.70425,0.58998,0.65488,0.44949,1.05763,1.1809,1.26712,0.000338562,0.000338562,0.000338562
21,787.188,0.95791,1.22344,1.25289,0.73245,0.58758,0.66081,0.45164,1.07188,1.18918,1.27969,0.000334434,0.000334434,0.000334434
22,825.518,0.96223,1.22971,1.24738,0.71076,0.59929,0.65209,0.44772,1.06043,1.17865,1.26633,0.000330306,0.000330306,0.000330306
23,862.746,0.9523,1.19593,1.23961,0.73434,0.59742,0.6675,0.45637,1.04856,1.16325,1.26807,0.000326177,0.000326177,0.000326177
24,900.049,0.95323,1.19649,1.23998,0.72855,0.60413,0.6669,0.463,1.05003,1.14524,1.26446,0.000322049,0.000322049,0.000322049
25,937.188,0.95024,1.16873,1.24092,0.73674,0.59863,0.66727,0.46065,1.04858,1.14745,1.26504,0.000317921,0.000317921,0.000317921
26,974.468,0.94658,1.15481,1.23978,0.7208,0.60919,0.66705,0.4686,1.03632,1.14503,1.25791,0.000313792,0.000313792,0.000313792
27,1011.55,0.93804,1.14278,1.22811,0.72931,0.60654,0.67574,0.47142,1.04814,1.11563,1.26771,0.000309664,0.000309664,0.000309664
28,1048.48,0.937,1.1242,1.23589,0.72469,0.61017,0.67079,0.47002,1.04156,1.11954,1.25961,0.000305536,0.000305536,0.000305536
29,1085.91,0.9322,1.13813,1.22794,0.72743,0.60494,0.66961,0.46408,1.06492,1.12513,1.27167,0.000301408,0.000301408,0.000301408
